"Fingerprint - Tortured Phrase","Expected Text","Nb Retrieved Papers"
"""incendiary middle people""","inflammatory mediators","8"
"""pale-skinned person mouse""","albino mouse","8"
"""gathering of occupiers""","group of residents","8"
"""choice backwood""","decision tree","8"
"""imperativeness successful""","energy efficient","8"
"""antagonistic pregnancy results""","adverse pregnancy outcomes","8"
"""commonness ailment""~5","prevalence, sickness","8"
"""high stipulate""","high demand","8"
"""ghostly examination""","spectral analysis","8"
"""pre-preparing model""","pre-trained model","8"
"""constant aggravation"" AND ""systemic inflammation""","systemic inflammation","8"
"""scorn talk""","hate speech","8"
"""vegetative electron microscope""","low-energy electron microscopy","8"
"""acetylsalicylic corrosive""","acetylsalicylic acid","8"
"""genuine and fanciful part""","real and imaginary part [of a complex number]","8"
"""programmed speech acknowledgment""","automatic speech recognition","8"
"""center internal heat level""","core body temperature","8"
"""self-association map""","self-organizing map","8"
"""economic prosperousness""","economic prosperity","8"
"""persistent kidney ailment""","chronic kidney disease (CKD)","8"
"""Eigen worth""","Eigen value","8"
"""misfortune layer""","hidden layer","8"
"""lion's share voting""","majority voting","8"
"""Coronary vein sickness""","coronary artery disease","8"
"""revolution scaling interpretation""~2","Rotation, Scaling, and Translation (RST)","8"
"""creation arranging and control""","production planning and control","8"
"""printed circuit sheet (PCB)""","printed circuit board (PCB)","8"
"""particular worth disintegration""","single value decomposition (SVD)","8"
"""delivery Layer protection""","Transport Layer Security (TLS)","8"
"""imply squared blunder""","mean squared error","8"
"""popularity fee""","recognition rate","8"
"""honest to goodness positive""","true positive","8"
"""voice colleague"" AND ""voice assistant""","voice assistant","8"
"""half breed demonstrate""","hybrid model","8"
"""Order and Relapse Tree""","Classification and Regression Tree (CART)","8"
"""Fourth-Age (4G)""","Fourth-Generation (4G)","7"
"""edit illnesses""","crop illnesses","7"
"""incendiary ailment""","inflammatory disease","7"
"""watery diversion""","aqueous humor","7"
"""Tool Learning (ML)""","Machine Learning (ML)","7"
"""camera sack""","image dataset","7"
"""outfit characterization""","ensemble classification","7"
"""root suggest squared error""","root mean square error (RMSE)","7"
"""acknowledgement pace""","recognition rate","7"
"""American Malignancy Society""","American Cancer Society","7"
"""ingenuous Bayes""","naive Bayes","7"
"""warm observing""","heat monitoring","7"
"""seriously care unit""","intensive care unit (ICU)","7"
"""In-vitro Treatment (IVF)""","In-vitro Fertilization (IVF)","7"
"""differential condition"" AND ""fourth request""","differential equation AND 4th order","7"
"""hard circle drive""","hard disk drive","7"
"""fluorescent-named""","fluorescent-tagged","7"
"""pathetic burden""","???","7"
"""choice jungle""","decision jungle (algorithm)","7"
"""enunciated bodies""","articulated bodies","7"
"""ok-Nearest friends""","k-nearest neighbors","7"
"""antigermicidal agent""","agent that has an activity opposed to killing germs","7"
"""constant lung infection""","chronic pulmonary infection","7"
"""protein recognizable proof""","protein identification","7"
"""lactose bigotry""","lactose intolerance","7"
"""gravitational fascination""","gravitational attraction","7"
"""Hypothesis of Arranged Conduct (TPB)""","Theory of Planned Behavior (TPB)","7"
"""character burglaries""","identity thefts","7"
"""hotness misfortune""","heat loss","7"
"""biofilm populaces""","biofilm population","7"
"""article arranged programming""","object-oriented programming","7"
"""case-touchy""","case-sensitive (text)","7"
"""scientific local area""","scientific field/discipline","7"
"""dispensed denial-of-carrier""","distributed denial of service","7"
"""rubbing welding""","friction welding","7"
"""ammunition acids""","amino acids","7"
"""halfway differential Equations""","partial differential equations (PDEs)","7"
"""double grouping"" AND ""binary classification""","binary classification","7"
"""feed-ahead community""","feedforward network","7"
"""high-layered highlight space""","high-dimensional feature space","7"
"""opportune and dependable""","timely and reliable","7"
"""Mel Recurrence Scale""","Mel Frequency Scale","7"
"""grade point normal""","grade point average (GPA)","7"
"""retinal shade epithelium""","Retinal Pigment Epithelium (RPE)","7"
"""reaction initiation probability""","initiation probability","7"
"""gluconic corrosive""","gluconic acid","7"
"""affirmation exactness""","recognition accuracy","7"
"""self-organizing characteristic maps""","self-organizing feature maps","7"
"""singular worth decomposition""","Singular Value Decomposition (SVD)","7"
"""redox flagging""","redox signaling","7"
"""strong, fluid or gas""","solid, liquid or gas","7"
"""Reynolds digit""","Reynolds number","7"
"""complete association layer""","fully-connected layer (in a neural network)","7"
"""shading twisting""","color distortion","7"
"""Hypothesis of Contemplated Activity (TRA)""","Theory of Reasoned Action (TRA)","7"
"""setup and the board""","configuration and management","7"
"""Mark off process""","Markov process","7"
"""coordinated sifting""","matched filtering","7"
"""retro degree""","retro-gradation","7"
"""commotion cancelation""","noise cancellation","7"
"""Global Data Corporation""","International Data Corporation (IDC)","7"
"""cell cycle guideline""","cell cycle regulation","7"
"""hazardous emanations""","hazardous emissions","7"
"""vigorous relapse""","robust regression","7"
"""particularity, responsiveness""","specificity, sensitivity (metrics)","7"
"""discrete fourier remodel""","discrete Fourier transform (DFT)","7"
"""truth stretch""","confidence intervals","7"
"""man-made mental aptitude""","artificial intelligence","7"
"""nice predictive value""","positive predictive value (PPV)","7"
"""mental conduct treatment""","cognitive behavior treatment (CBT)","7"
"""numerous occasion learning""","multiple-instance learning (MIL)","7"
"""Client Datagram Convention""","User Datagram Protocol (UDP)","7"
"""outfit understanding""","ensemble learning","7"
"""Term Recurrence - Backwards Record Recurrence""","Term Frequency - Inverse Document Frequency","7"
"""created calculation"" AND ""algorithm developed""","algorithm developed","7"
"""revelation dataset""","public dataset","7"
"""thing acknowledgment"" AND ""object recognition""","object recognition","7"
"""record activator-like effector nucleases""","transcription activator-like effector nucleases (TALENs)","7"
"""underlying worth issue""","initial value problem","7"
"""substance based picture recuperation""","Content-Based Image Retrieval","7"
"""profound bore""","deep bore","7"
"""lesson lopsidedness""","class imbalance (in a classification dataset)","7"
"""speech emotion popularity""","speech emotion recognition","7"
"""imbalance range problems""","Autism Spectrum Disorders (ASD)","7"
"""warmth of sorption""","Heat of sorption","7"
"""element determination and extraction""","feature selection and extraction","7"
"""bolster portability""","support mobility","7"
"""region beneath the ROC bend""","area under the ROC curve (AUC)","7"
"""tropical wildness""","tropical disease","7"
"""irregular maturing""","random aging","7"
"""wi-fically""","???","7"
"""incendiary sickness""","inflammatory disease","7"
"""healthful prerequisites""","nutritional requirements","7"
"""Organization Interruption Discovery Frameworks""","Network Intrusion Detection System (NIDS)","7"
"""fake Recurrent Neural Network""","artificial Recurrent Neural Network","7"
"""[C=O] bunches""","[C=O] groups","7"
"""institutional survey board""","institutional review board","7"
"""manageable improvement objective""","Sustainable Development Goals (SDG)","7"
"""clinical squander""","clinical waste","7"
"""support vector motor""","support vector machine (SVM)","7"
"""primary thing evaluation""","principal component analysis","7"
"""squared misstep""","squared error","7"
"""creation rooftop""","production ceiling","7"
"""gas and mass spectroscopy""","gas chromatography/mass spectrometry (GC/MS)","7"
"""pinnacle recurrence""","peak frequency","7"
"""gross national item""","gross national product","7"
"""parasitic fix""","parasitic strip","7"
"""planning get ready""","training process","7"
"""slim movies""","thin films","7"
"""scale invariant feature remodel""","scale invariant feature transform (SIFT)","7"
"""commotion extent""","???","7"
"""advanced encryption widespread""","Advanced Encryption Standard (AES)","7"
"""DDoS raid""","DDoS attack","7"
"""nutrient B5"" AND ""vitamin""","vitamin B5","7"
"""liquor-based rub""","alcohol-based hand rub","7"
"""chairperson benefits""","administrator privileges","7"
"""Center East Respiratory Condition""","Middle East Respiratory Syndrome (MERS)","7"
"""fatty corrosive""","fatty acid","7"
"""coupling accomplice""","binding partner","7"
"""co-resident assault""","co-resident attack","7"
"""learning disclosure in databases""","knowledge discovery in databases","7"
"""problematic relaxing""","difficult breathing","7"
"""worldwide pooling"" AND ""global pooling""","global pooling","7"
"""Joule warms""","Joule heating","7"
"""chief component analysis""","Principal Component Analysis (PCA)","7"
"""field arranged control""","field oriented control (FOC)","7"
"""various information different result""","multiple input multiple output (MIMO)","7"
"""vigor usage""","energy/power usage","7"
"""winged animal rushing""","???","7"
"""unfaithful positive""","false positive","7"
"""robotized thinking""","machine learning","7"
"""ghostly clustering""","spectral clustering","7"
"""ensuing learning and speculation steps""","???","7"
"""political decision commission""","electoral commission","7"
"""normal mistake rate""","average error rate","7"
"""during spite of""","in spite of","7"
"""microbial sullying""","microbial contamination","7"
"""off-focusing"" AND ""off-target""","off-target","7"
"""gel pervasion""","gel permeation (chromatography)","7"
"""penmanship acknowledgement""","handwriting acknowledgement","7"
"""corruption of polymers""","polymer decomposition","7"
"""magnetic pasture""","magnetic field","7"
"""BiLSTM organization""","BiLSTM (neural) netwok","7"
"""counterfeit alarm""","false alarm","7"
"""electronic casting a ballot""","electronic voting systems","7"
"""vessel flagon""","reaction flask","7"
"""splitting tensile power""","splitting tensile strength","7"
"""petroleum-driven powers""","petroleum-derived fuels","7"
"""auupdatedmate""","automate","7"
"""vehicular impromptu network""","Vehicular Ad hoc Network (VANET)","7"
"""far flung get entry to""","remote access","7"
"""term recurrence reverse record recurrence""","Term Frequency Inverse Document Frequency (TF-IDF)","7"
"""relapse technique"" AND ""regression technique""","regression technique","7"
"""Long Short Term Memory organizations""","Long Short-Term Memory networks","7"
"""autoregressive incorporated transferring common""","autoregressive integrated moving average","7"
"""fascination band""","???","7"
"""delicate registering approach""","soft computing approach","7"
"""cellular ad-hoc community""","\""mobile ad hoc network (MANET)\""","7"
"""semi-regulated calculation""","semi-supervised algorithm","7"
"""antibody intervened""","antibody mediated","7"
"""differential condition"" AND ""third request""","differential equation AND 3rd order","7"
"""restricting accomplice""","binding partner","7"
"""ostensibly incapacitated""","visually impaired","7"
"""human ocular perceivers""","human eyes","7"
"""unfortunate visualization""","(?) detection","7"
"""info entryway""","input gate (a part of LSTM)","7"
"""high-level driver helps frameworks""","advanced driving assistance system (ADAS)","6"
"""coupling negotiator""","coupling agent","6"
"""CRISPR impedance or CRISPRi""","CRISPR interference or CRISPRi","6"
"""ensured wellbeing data""","Protected Health Information (PHI)","6"
"""international positioning system (GPS)""","Global Positioning System","6"
"""dark social examination""","grey relational analysis","6"
"""astute assembling""","intelligent manufacturing","6"
"""Eventually Tom's scrutinizing""","by","6"
"""General Professionals (GPS)""","General Practitioners (GPS)","6"
"""hazardous squanders""","hazardous wastes","6"
"""limited difference time-domain""","finite-difference time-domain","6"
"""low-asset dialect""","low-resource language","6"
"""vocal parcel""","vocal tract","6"
"""unbiased element analysis""","independent component analysis (ICA)","6"
"""Security Preserving Data Mining""","Privacy Preserving Data Mining (PPDM)","6"
"""ceaseless speech""","continuous speech","6"
"""slice level precision""","frame-level accuracy","6"
"""speaker mannequin""","speaker model","6"
"""particular esteem decay""","singular value decomposition (SVD)","6"
"""tall level of exactness""","high level of accuracy","6"
"""NMR flag""","NMR signal","6"
"""force supply unit""","power supply unit","6"
"""profoundly saved""","heavily conserved","6"
"""financial guess""","financial forecast","6"
"""abdicate forecast""","yield forecast","6"
"""Multiple article following""","Multiple Object Tracking","6"
"""MobileNet engineering""","MobileNet (a neural network) architecture","6"
"""urban scheming""","urban planning","6"
"""mellow disease""","mild disease","6"
"""portrayal of the genome""","characterization of the genome","6"
"""twofold characterization issues""","binary classification tasks","6"
"""arrangement of constants"" AND ""set of parameters""","set of parameters","6"
"""can't stand discourse""","hate speech","6"
"""Lyme's sickness""","Lyme's disease","6"
"""blocking curios""","blocking artifacts","6"
"""entry to manage list""","access-control list (ACL)","6"
"""high pass channel (HPF)""","high pass filter","6"
"""cushioned method of reasoning""","fuzzy logic","6"
"""couple of-enter more than one-output""","multiple-input multiple-output","6"
"""image affirmation"" AND ""image recognition""","image recognition","6"
"""club strongholds""","cluster formations","6"
"""manufactured opening radar""","synthetic aperture radar (SAR)","6"
"""contrast-upgraded"" AND ""contrast-enhanced""","contrast-enhanced","6"
"""more drawn out frequency""","longer wavelength","6"
"""low clamor speaker""","low noise amplifier (LNA)","6"
"""chart tagging""","graph labeling","6"
"""affected man or woman care""","healthcare (?)","6"
"""cushy reasoning""","fuzzy reasoning","6"
"""Golgi contraption""","Golgi apparatus","6"
"""medium get admission to manipulate""","media access control (MAC)","6"
"""mind boggling and troublesome""","convoluted (referring to convolution, as a mathematical operation)","6"
"""area-unique information""","domain-specific knowledge","6"
"""realistic client interface""","graphical user interface","6"
"""man in center assault""","Man in The Middle Attack","6"
"""representative strengthening"" AND ""employee empowerment""","employee empowerment","6"
"""picture smoothening""","image smoothing","6"
"""Photonic band hole""","photonic band gap","6"
"""openness therapy""","exposure therapy","6"
"""eigen-confront""","Eigen-face","6"
"""penicillin restricting protein""","penicillin binding protein","6"
"""neurodegenerative disarrange""","neurodegenerative disorder","6"
"""sun oriented warming""","solar heating","6"
"""inclination helped trees""","gradient-boosted decision trees (GBDT)","6"
"""conviction interim""","confidence interval","6"
"""convolutional frontal cortex affiliation""","Convolutional Neural Network (CNN)","6"
"""mean Total percentage errors""","mean absolute percentage error (MAPE)","6"
"""brain tumefaction""","brain cancer / brain tumor","6"
"""phantom groups"" AND ""spectral bands""","spectral bands","6"
"""least vital bit""","least significant bit (LSB)","6"
"""inside a pontoon""","inside a reaction vessel/baloon","6"
"""concoction equation""","chemical formula","6"
"""Bronsted corrosive""","Bronsted acid","6"
"""enthusiastic discourse"" AND ""emotional speech""","emotional speech","6"
"""yield worth"" AND ""output value""","output value","6"
"""autumn-out"" AND ""fall-out""","fall-out","6"
"""IEEE Diary on""","IEEE Journal on","6"
"""product characterized network""","Software Defined Network (SDN)","6"
"""histogram of arranged slopes""","histogram of oriented gradients (HOG)","6"
"""High resonance SEM""","High resolution SEM","6"
"""President Hedge""","president George Bush","6"
"""slender activity""","capillary action","6"
"""grasp/slave""","master/slave","6"
"""multi-elegance classification""","multi-class classification","6"
"""establishment subtraction""","background subtraction","6"
"""versatile neuro-fluffy derivation framework""","adaptive neuro-fuzzy inference system (ANFIS)","6"
"""evaporating slants""","vanishing gradients","6"
"""coronary corridor sickness""","coronary artery disease","6"
"""boisterous flag""","noisy signal","6"
"""prescient error""","prediction error","6"
"""Circulated energy assets (DERs)""","Distributed Energy Resources (DERs)","6"
"""excess oxygen"" AND ""airborne oxygen""","airborne oxygen","6"
"""traffic stream expectation""","traffic flow prediction","6"
"""propelled diabetes""","advanced diabetes","6"
"""eager discourse""","emotional speech","6"
"""worker breakdown"" AND ""cloud computing""","server failure","6"
"""false alarm fee""","false alarm rate","6"
"""interference recognizable proof""","intrusion identification (?)","6"
"""farsighted power""","predictive power","6"
"""mean-squared bungle""","squared error","6"
"""astute household""","smart home","6"
"""machine perusing""","Machine Learning (ML)","6"
"""high unwavering quality model""","high confidence model","6"
"""picture confirmation"" AND ""image recognition""","image recognition","6"
"""shrewd traffic light""","smart traffic light","6"
"""displaying instructing""","model training","6"
"""area under the ROC bend""","area under the ROC curve (AUC)","6"
"""getting-to-know analytics""","learning analytics (LA)","6"
"""reinforcement modern day""","Reinforcement Learning (RL)","6"
"""otherworldly reach""","spectral range","6"
"""underground creepy crawly state""","ant colony","6"
"""feline lift""","CatBoost (software library)","6"
"""antagonistic responsibility""","negative charge","6"
"""Mechanized Teller Machines (ATMS)""","Automated Teller Machines (ATMS)","6"
"""sigmoid initiation capability""","sigmoid activation function","6"
"""real high quality charge""","True Positive Rate (TPR)","6"
"""mechanized tomography""","computed tomography (CT)","6"
"""hyperbolic digression work""","hyperbolic tangent function","6"
"""radioactive rot""","radioactive decay","6"
"""deep perception community""","Deep Belief Network (DBN)","6"
"""inexperienced Bayes""","naive Bayes","6"
"""talk sign"" AND ""speech signal""","speech signal","6"
"""commotion flag""","noise signal","6"
"""exactness, correctness, review""","accuracy, precision, recall","6"
"""privateness upkeep""","privacy maintenance","6"
"""intermittent layer"" AND ""recurrent layer""","recurrent layer (neural network)","6"
"""laptop-aided prognosis""","computer-aided diagnosis (CAD)","6"
"""various layer perceptron""","Multi-layer perceptron (MLP)","6"
"""subthalamic core""","subthalamic nucleus (STN)","6"
"""skin peril""","skin cancer","6"
"""ghostly reach""","spectral range","6"
"""6th Era (6G)""","Sixth-Generation (6G)","6"
"""finger impression acknowledgement""","fingerprint recognition","6"
"""Mean Assessment Score (MOS)""","Mean Opinion Score (MOS)","6"
"""Data And Interchanges Innovation (ICT)""","Information And Communications Technology (ICT)","6"
"""pilot take a look at""","pilot experiment/study","6"
"""ok-anonymity""","k-anonymity","6"
"""free segment investigation""","Independent Component Analysis (ICA)","6"
"""voyaging sales representative issue""","travelling salesman problem","6"
"""wistful research""","sentiment analysis (SA)","6"
"""Conditional Arbitrary Field""","conditional random field (CRF)","6"
"""element-of-speech (POS)""","part-of-speech (POS)","6"
"""sun oriented refining""","solar desalination","6"
"""chromic corrosive""","chromic acid","6"
"""irritate and watch""","perturb and observe","6"
"""random thicket""","random forest","6"
"""drawn aimlessly""","randomly chosen","6"
"""key segment investigation""","Principal Component Analysis (PCA)","6"
"""dispersed refusal of administration""","distributed denial of service (DDoS)","6"
"""preparing cases"" AND ""training samples""","training samples","6"
"""maximum probability (MLE)""","maximum likelihood estimation (MLE)","6"
"""chime pepper""","bell pepper","6"
"""at ease Shell""","secure shell (SSH)","6"
"""self-consideration layer""","self-attention layer (of a neural network)","6"
"""fake poor charges""","false negative rates","6"
"""worker preparing"" AND ""employee training""","employee training","6"
"""medical services biological system""","healthcare ecosystem","6"
"""genuine unfriendly impact""","negative collateral effet","6"
"""obtrusive breast cancer""","invasive breast cancer","6"
"""Eventually Tom's examining""","by","6"
"""food gracefully chain""","food supply chain","6"
"""mathematical upsides""","numerical values","6"
"""watch bounce""","watch jump process","6"
"""generative stochastic system""","generative stochastic network (GSN)","6"
"""genuine ecological condition""","real enviroment","6"
"""lightness prompted""","buoyancy induced","6"
"""interpersonal organization administrations""","social network services","6"
"""fetal liquor""","fetal alcohol (syndrome)","6"
"""country-of-artwork""","state-of-the-art","6"
"""artifact expulsion""","artifact removal","6"
"""dynamic time distorting""","Dynamic Time Warping (DTW)","6"
"""nutrient B3"" AND ""vitamin""","vitamin B3","6"
"""sickle cell ailments""","sickle cell disease","6"
"""k closest area""","K-nearest neighbors (KNN)","6"
"""boa constrictor pilot""","Anaconda Navigator","6"
"""new-fangled virus""","Novel Coronavirus","6"
"""supervised latest""","supervised learning","6"
"""miniaturized scale electro-mechanical frameworks""","micro electromechanical systems","5"
"""harmony treaty""","settlement contract","5"
"""ecological annihilation"" AND ""environmental damage""","environmental damage","5"
"""false effective fee""","false positive rate","5"
"""ovarian disappointment""","ovarian failure","5"
"""fake fantastic charge""","false positive rate","5"
"""incline heterogeneity""","slope heterogeneity","5"
"""feathery method of reasoning""","fuzzy logic","5"
"""individual advanced partners""","personal digital assistant (PDA)","5"
"""Tamura highlights""","Tamura features","5"
"""adeno-related infection""","Adeno-associated virus (AAV)","5"
"""circle dissemination technique""","disc diffusion method","5"
"""post horrible pressure issues""","post-traumatic stress disorder (PTSD)","5"
"""vitality economical""","energy efficient","5"
"""habitat crumbling""","environmental degradation","5"
"""insusceptible immune system""","immune system","5"
"""normalized mutual knowledge (NMI)""","normalized mutual information (NMI)","5"
"""double straight classifier""","binary linear classifier","5"
"""fake mindfulness""","artificial intelligence","5"
"""far off operating""","???","5"
"""organized game plan""","ordered fine structure ???","5"
"""enchantment square""","magic square","5"
"""pseudogenes were disposed of""","pseudogenes were removed","5"
"""chart brain organization""","graph neural network (GNN)","5"
"""laptop-aided design""","computer aided-design (CAD)","5"
"""ultra great workability""","ultra high performance","5"
"""character check"" AND ""identity verification""","identity verification","5"
"""mean temperature distinction""","mean temperature difference","5"
"""vocal bundle""","vocal tract","5"
"""pellet-forming dye""","pellet-forming cell","5"
"""Tensor handling unit""","Tensor Processing Unit (TPU)","5"
"""electric geyser"" AND ""electric boiler""","electric boiler","5"
"""palindromic reiterates""","clustered regularly interspaced short palindromic repeats (CRISPR)","5"
"""central part investigation""","principal component analysis (PCA)","5"
"""recognizable proof of infection""","identification of disease","5"
"""oxide earthenware""","oxide ceramics","5"
"""leucine-rich recurrent kinase 2""","leucine-rich repeat kinase 2 (LRRK2)","5"
"""Grashof amount""","Grashof number","5"
"""ultimate comes about""","final result","5"
"""touchy sufficient""","sensitive enough","5"
"""neglecting door""","forget gate (part of a LSTM network)","5"
"""shaft shaping"" AND ""multi-channel""","beamforming","5"
"""primary thing analysis""","principal component analysis (PCA)","5"
"""shading amendment""","color correction","5"
"""main element analysis (PCA)""","principal composent analysis (PCA)","5"
"""diffusion enhanced imaging""","diffusion weighted imaging","5"
"""United Nations agency square measure""","United Nations agency","5"
"""pass lingual""","cross-lingual","5"
"""Confidentiality, Integrity, and openness""","Confidentiality, Integrity, and Availability (CIA)","5"
"""conscientious cancer""","benign cancer/tumor","5"
"""Weighted aggregate technique""","Weight Sum Model (WSM)","5"
"""spine community"" AND ""backbone network""","backbone network (deep learning)","5"
"""anticipation and order""","prediction and classification","5"
"""picture subtitle age""","image caption generation","5"
"""off-base negative""","false negative","5"
"""rejected from the examination""","excluded from the study","5"
"""energetic stickiness""","dynamic viscosity","5"
"""flickered interest""","sparked interest","5"
"""mellow side effects""","mild reactions","5"
"""nurture gas""","greenhouse gasses","5"
"""global positioning machine""","Global Positioning System (GPS)","5"
"""suggested absolute mistakes""","mean absolute errors","5"
"""Transmission to-Commotion Proportions""","signal-to-noise ratios (SNRs)","5"
"""lake of reproducibility""","lack of reproducibility","5"
"""reaction time to inquiry""","query response time","5"
"""getting-to-know behaviors""","learning behaviors","5"
"""piece profundity""","[audio] bit depth","5"
"""orthogonal tomahawk""","orthogonal axe","5"
"""ordinary to the plate""","normal to the plate","5"
"""residing consumers""","domestic consumers","5"
"""mTOR conduit""","mTOR pathway","5"
"""observational mode decay""","empirical mode decomposition (EMD)","5"
"""monetary demonstrating""","financial modeling","5"
"""Neighborhood close to K""","K nearest neighbors (algorithm)","5"
"""up to Dalmatian""","???","5"
"""tumor web page""","tumor site","5"
"""wave-shaped data""","waveform","5"
"""man or woman additives""","individual components","5"
"""open air correspondence""","outdoor communication","5"
"""authentic tremendous rate""","true positive rate (TPR)","5"
"""pluripotent foundational microorganism""","Pluripotent Stem Cell (PSC)","5"
"""cerebrum affiliation""","neural network","5"
"""perilous great""","hazardous goods","5"
"""indirect changes"" AND ""nonlinear transformations""","nonlinear transformations","5"
"""squared screw up""","squared error","5"
"""quick Fourier remodel""","Fast Fourier Transform (FFT)","5"
"""medicinal judgement""","medical diagnosis","5"
"""boisterous highlights""","noisy features","5"
"""artificial mental ability""","artificial intelligence","5"
"""non-transmittable sicknesses""","noncommunicable disease","5"
"""couple of-input multiple-output""","multiple-input multiple-output","5"
"""satisfactory of provider""","quality of service (QoS)","5"
"""Siamese neural organizations""","Siamese neural networks","5"
"""arrogance interval""","confidence interval","5"
"""accepted outcast""","trusted third party","5"
"""Model Schooling System""","Model training process","5"
"""pass-lingual""","cross-lingual","5"
"""preparation target"" AND ""training objective""","training objective","5"
"""cellular dividers""","cell walls","5"
"""nations of inception""","country of origin","5"
"""Worldwide include"" AND ""global feature""","global feature","5"
"""lengthy quick-time period reminiscence network""","long short-term memory networks (LSTM)","5"
"""reverse proliferation"" AND ""backpropagation""","backpropagation","5"
"""throwing a vote""","voting","5"
"""relapse and categorizations""","regression and classification","5"
"""human activity affirmation""","human activity recognition","5"
"""time collection analysis (TSA)""","time series analysis","5"
"""quality focusing on"" AND ""gene targeting""","gene targeting","5"
"""ok-nearest buddies""","k-nearest neighbors","5"
"""artificial cognizance""","artificial intelligence","5"
"""sparkle hole""","spark gap","5"
"""rosseland guess""","Rosseland approximation","5"
"""counterfeit gadget""","artificial device","5"
"""inactive semantic ordering""","latent semantic indexing (LSI)","5"
"""misleading pessimistic""","false negative (FN)","5"
"""power ghastly thickness""","power spectral density","5"
"""enrollment works"" AND ""activation functions""","activation functions","5"
"""substantial metallic particles""","Heavy metal ions","5"
"""deep transfer gaining knowledge""","deep transfer learning","5"
"""farther detecting information""","remote sensing data","5"
"""mean supreme blunder""","absolute error","5"
"""sensor is friendly""","sensor is close","5"
"""schooling set of rules""","training algorithm","5"
"""logical language processing""","natural language processing","5"
"""splendid watches""","smart watches","5"
"""unearthly area""","spectral domain (signal processing)","5"
"""voter lack of concern""","voter disaffection","5"
"""genuine inebriation""","real intoxication","5"
"""spiteful hub""","malicious node","5"
"""food bigotry""","food intolerance","5"
"""solo pre-preparing""","unsupervised pre-training","5"
"""maintain vector machine""","support vector machine (SVM)","5"
"""functional houses"" AND ""functional properties""","functional properties","5"
"""non-straight data""","non-linear data","5"
"""miniaturized scale permeable""","microporous","5"
"""fake fish swarm""","artificial fish school (algorithm)","5"
"""fitting blunder""","fitting error","5"
"""moo discovery""","???","5"
"""mind surgery"" AND ""brain surgery""","brain surgery","5"
"""symphonious age""","harmonic generation","5"
"""preventive fitness care""","preventive healthcare","5"
"""telephone recognition system""","phone recognition system (\""phone\"" as in speech sound)","5"
"""achieved by tainting""","caused by infection","5"
"""influences the audio output""","determines the audio output","5"
"""unaided pre-preparing""","unsupervised pre-training","5"
"""optical character acknowledgement""","Optical Character Recognition (OCR)","5"
"""chinese conventional medication""","Traditional Chinese Medicine","5"
"""brilliant right hand""","smart assistant","5"
"""mastercard trades""","Mastercard transactions","5"
"""x-pillar images""","X-ray images","5"
"""reliant variable utilized""","dependent variable used","5"
"""normal sulfur compound""","model sulfur compound","5"
"""imperativeness profitability""","energy efficiency","5"
"""paired grouping issues""","binary classification problems","5"
"""remaining learning technique""","residual learning strategy","5"
"""contrarily influenced"" AND ""negatively affected""","negatively affected","5"
"""root hitch""","root node (in a decision tree)","5"
"""Brobdingnagian information""","big data","5"
"""brought together installment connection point""","Unified Payment Interface (UPI)","5"
"""cell phone conduct""","???","5"
"""astute house""","smart houses","5"
"""alluring charge""","Attractive Interaction","5"
"""false anxiety"" AND ""false alarm""","false alarm","5"
"""diary bearing"" AND ""lubricant""","journal bearing","5"
"""Business Rationale Layer""","Business Logic Layer (BLL)","5"
"""approval information set""","validation dataset","5"
"""appointive frameworks""","electoral systems","5"
"""voice amalgamation""","speech synthesis","5"
"""solitary esteem decay""","singular value decomposition","5"
"""voltage kicking""","voltage buck-boost converter","5"
"""quality drive"" AND ""gene drive""","gene drive","5"
"""circular embed""","cochlear implant","5"
"""swish classifier""","best classifier","5"
"""cross over colon""","transverse colon","5"
"""blame proportion""","error rate","5"
"""speech emotion reputation""","emotion recognition","5"
"""ePSXe""","???","5"
"""shrewdly transportation framework""","intelligent transportation system","5"
"""non-straight capability""","non-linear function","5"
"""level and vertical tomahawks""","horizontal and vertical axes","5"
"""state of the symbolization""","state of the art","5"
"""solitary value decomposition""","singular value decomposition (SVD)","5"
"""voice signal acknowledgement""","(automatic) speech recognition (ASR)","5"
"""climate debasement""","environmental degradation","5"
"""generative ill-disposed organize""","Generative Adversarial Network (GAN)","5"
"""infiltration system (IDS)""","intrusion detection system (IDS)","5"
"""Elastic-pursuit""","Elastic-search","5"
"""textual content era""","text generation","5"
"""idle dirichlet allocation""","Latent Dirichlet Allocation (LDA)","5"
"""variable attractive field""","variable magnetic field","5"
"""particular worth decay""","single value decomposition (SVD)","5"
"""repetitive neural arrangement""","recurrent neural network (RNN)","5"
"""crossbreed approaches""","hybrid approaches","5"
"""central composite plan (CCD)""","Central Composite Design (CCD)","5"
"""cardiac disappointment""","cardiac failure","5"
"""Laplace rework""","Laplace transform","5"
"""digital private community""","virtual private network (VPN)","5"
"""worldwide component"" AND ""global features""","global features","5"
"""impedance commotion""","energy noise","5"
"""half and half system"" AND ""hybrid system""","hybrid system","5"
"""grapple boxes""","anchor boxes","5"
"""ceaseless hepatitis""","chronic hepatitis","5"
"""sincere Bayesian""","naive Bayesian","5"
"""sure financial development""","positive economic development","5"
"""lucky warnings""","random warnings","5"
"""burns through less force""","consumes less power","5"
"""review and Fl-score""","recall and F1-score","5"
"""metabolic hotness""","metabolic heat","5"
